City,Date,Temperature (C),Humidity (%),Rainfall (mm),Wind Speed (m/s)
annmouth,2022-11-01,-11.064356382224876,43,27.29584636544094,8.559161932142999
west herbert,2022-10-24,13.646346399704122,22,5.281709035101634,1.5499729400506057
reevesfurt,2022-04-17,7.270659234756025,22,11.813068519442554,0.2603168811614176
coopershire,2022-03-31,2.235970561774966,89,23.174008846071843,3.6974650801233344
brooksburgh,2022-03-07,23.09978571335244,63,19.454932007850637,2.421852499451087
south carlaburgh,2022-06-30,-14.975560553854528,31,18.514700522366702,18.906569961815368
port joseph,2022-04-03,26.147513790697275,69,41.33869741427236,1.6991878940786198
lake dana,2022-07-20,5.427244692443352,1,28.574723794291657,6.169454884781837
wheelerburgh,2022-10-30,3.2970606149360613,60,13.60384907478922,11.317400965602136
south jennifer,2022-12-26,23.73654739622061,24,14.681293591995445,18.512067440372967
new david,2022-04-09,32.42858177616666,14,10.291360147011552,1.2038847007782394
west kristin,2022-12-01,-0.1735518049122966,62,10.178837086727189,3.295824525131364
west davidstad,2022-04-16,4.575673335011565,44,31.833978691749397,17.69706351722585
west carolynburgh,2022-05-16,14.636503350692813,40,9.613103221723396,19.816152926218745
martinberg,2022-10-11,23.060183900961327,20,25.1196095824671,12.29050316751922
jonathanshire,2022-06-09,34.749881852456774,95,19.855875556725103,6.948799490385412
new brianna,2022-07-09,34.26637539234889,12,1.074028907320329,2.672997277085269
east rachel,2022-07-19,-5.37688477177613,21,8.821805594043862,11.925836326956905
port kelly,2022-10-16,0.8108867312963035,32,3.348136097531812,1.6027829054059617
leonardville,2022-01-27,-3.372833910749467,75,43.89475561609458,16.33782278040421
tranmouth,2022-01-08,-2.698126105397318,82,30.822153746198367,7.080143223451467
patrickmouth,2022-04-30,1.9882343125824848,67,8.680962564928702,15.384079786753263
east christophertown,2022-02-09,-5.682225283380095,18,27.74383140490728,10.201844891900777
amandaburgh,2022-10-07,7.917332331492879,23,21.81960860674045,5.900391005547765
west eduardotown,2022-11-19,19.403841358883295,4,11.331170779664806,6.556374250391997
robertberg,2022-04-21,35.73698541015895,77,21.100235379004385,12.345473210273338
liport,2022-05-03,24.33333320274651,80,27.08178099579467,15.047933902221155
gutierrezmouth,2022-07-10,13.514157589461751,75,8.421913162080259,18.18986496484363
toddborough,2022-09-27,23.085386111941236,17,47.09388299358338,19.11935299262032
webbtown,2022-01-27,23.90779507484463,89,24.78667985637105,11.975497464865628
smithland,2022-06-14,28.1519046735539,94,17.00074009811755,1.352228367481796
south gabriel,2022-08-07,0.4632985920156827,29,29.48469401754497,9.555462143442009
port andrewland,2022-09-06,-7.957332829452945,66,33.24808403910504,7.62059002327952
thomasmouth,2022-08-21,24.54536727750948,19,13.419285854632497,11.342493506380295
mariaton,2022-07-17,35.844094038554594,53,15.85477471030456,8.477680861479595
alisonmouth,2022-06-30,9.246154459249013,87,4.347089834509932,18.243415233702954
dianaside,2022-08-26,14.438848467879277,27,13.506971397274024,8.181656655930023
cruzborough,2022-01-07,27.5012780872628,77,9.310453485352513,10.289145952348036
west christinahaven,2022-05-15,21.21491327569653,83,48.69020154264962,2.357140945293794
christophermouth,2022-01-23,3.735102765150973,14,36.215358825357285,8.71778238018161
new maryburgh,2022-05-28,27.134326586796327,20,35.8052696395816,15.29813226615808
south coreystad,2022-12-04,24.318913202885238,79,27.112288396145555,17.325105050487718
marshalltown,2022-05-06,36.7988157726574,50,32.36585602151955,0.8913932832562987
mckinneyhaven,2022-05-26,-4.226834265820878,61,20.839701983599223,17.104037448450416
west lorichester,2022-08-28,37.905815612482414,78,25.816330170515045,16.867062590296953
new christina,2022-07-29,11.780145443528372,52,8.634572402844881,13.61915912844651
new michaelhaven,2022-01-06,19.388665258896477,81,46.87749235556276,15.175248144578056
jenniferside,2022-05-24,-1.951382046672279,7,33.05878734128441,10.59878535788977
south erik,2022-03-14,11.689376377719723,10,2.790203612837927,18.315866215586944
port drewville,2022-08-04,11.719937885842327,67,19.4791911732855,4.404048132339408
woodview,2022-11-27,-11.741335545954213,40,44.26059243248372,17.469461525170328
sarahborough,2022-04-20,2.8135956907035364,27,7.293724714544031,16.688312585080954
new richard,2022-01-24,37.86192587168109,71,32.71725033640725,17.68206369662191
south jessica,2022-08-06,-12.706578176047882,95,46.90172472010321,0.4214679706373658
salasberg,2022-03-07,18.836866806161492,18,0.0266906964277724,6.79385740396425
north aaronmouth,2022-11-17,-11.339148821664311,58,26.60273980191368,18.428828922101157
rodrigueztown,2022-09-23,14.020573819356663,95,17.053583207689087,2.2410888841695065
kelleyfort,2022-12-12,4.428505459271552,20,45.07573159803926,14.96041998151022
richardsonshire,2022-11-21,3.5566384483711424,0,41.166039194756415,1.1386795621175172
west crystal,2022-09-23,14.973507546568555,57,19.54699655940265,14.827051999526322
rodneychester,2022-01-18,11.379917810556416,65,12.28713322686944,5.7222271921321095
sandersside,2022-05-31,-15.708172487947085,51,17.853032186004437,17.034861280553926
ariaston,2022-09-30,-2.897869412305308,81,38.8147630041227,17.21585629617501
south christopher,2022-11-04,26.725501007260625,53,22.022934989970743,10.08317755511106
johnsonville,2022-11-02,37.723723061607714,57,34.62498502453417,3.4459904335768843
alexside,2022-03-27,17.8091547963053,17,25.671831116136712,0.581341831291522
thomasland,2022-05-02,30.488671616957102,45,3.303714587215112,2.7466225122668475
east jamesfurt,2022-04-25,-11.731525509295595,53,33.41605522891452,4.757951497434165
myersstad,2022-10-19,25.285810757211152,81,10.225569010097434,2.418448724858928
harthaven,2022-04-17,8.0854595169378,10,32.20455299995383,16.118417035038334
georgehaven,2022-10-04,19.2077919040335,67,40.63091508595502,2.5027779357907143
new kristinaside,2022-10-25,-6.799457515320956,74,48.3992950659713,1.0299282254971942
lake alison,2022-07-18,-15.673434624636338,51,26.018836939937973,17.652886917194607
nelsonchester,2022-03-01,-13.0914413593675,52,36.66995958160744,5.5721113048257465
lake john,2022-09-13,-12.078899653504614,100,38.64404356307028,12.945211690914366
phillipport,2022-10-04,-15.649494958340648,85,0.7190570884628766,8.351797789499686
kevinstad,2022-08-03,-1.4789044999363767,0,23.286172572061748,6.794219082276996
new nicholasville,2022-07-07,12.329413470588465,90,9.71042105579148,3.931322959001655
carolyntown,2022-04-26,-6.343627118958441,11,2.4091277842267003,9.971475920124051
lake jacquelineport,2022-05-07,9.230308151190464,61,17.424498740567863,16.402746803136832
butlermouth,2022-03-01,-13.83811912516396,1,10.827793966208604,7.029821076408755
new davidmouth,2022-06-24,34.27345920451156,10,30.77589665904348,7.462731243110287
lake nathan,2022-07-21,24.116084763489383,25,16.317829867835904,15.1855699355608
arielport,2022-01-25,39.30251281620819,70,28.82313195516509,13.834680621456094
stevensonmouth,2022-05-07,-17.48828972041209,52,43.63308116949477,14.854090604207611
castrotown,2022-01-27,33.38948482421239,91,6.803781513278523,4.103167022782865
danielsberg,2022-03-07,35.42208021306266,56,14.35231841446239,5.103751356577709
